,customer_id,customer_classification,api_calls,api_usage_rank
211,685,Large,62454,1.0
83,225,Large,42494,2.0
183,604,Large,39260,3.0
189,618,Large,37079,4.0
302,932,Large,30336,5.0
250,802,Large,28387,6.0
356,1205,Large,26548,7.0
361,1218,Large,26349,8.0
312,962,Large,23029,9.0
129,403,Large,22455,10.0
332,1100,Large,21061,11.0
433,1548,Large,19307,12.0
201,652,Large,18513,13.0
412,1489,Large,18203,14.0
260,829,Large,18057,15.0
202,654,Large,16840,16.0
234,765,Large,16359,17.0
403,1423,Large,15736,18.0
314,968,Large,14937,19.0
159,549,Large,14519,20.0
337,1115,Large,14404,21.0
109,297,Large,12956,22.0
382,1303,Large,12670,23.0
108,295,Large,12453,24.0
371,1262,Large,12118,25.0
128,399,Large,11523,26.0
289,895,Large,11194,27.0
394,1366,Large,10298,28.0
77,206,Large,9831,29.0
154,537,Large,9663,30.0
1,4,Large,9556,31.0
257,821,Large,9373,32.0
324,1008,Large,8720,33.0
248,799,Large,8638,34.0
143,440,Large,8630,35.0
0,1,Large,8452,36.0
137,427,Large,8030,37.0
443,1571,Large,7965,38.0
386,1328,Large,7917,39.0
254,811,Large,7082,40.0
241,783,Large,7002,41.0
206,664,Large,6988,42.0
76,204,Large,6786,43.0
251,804,Large,6693,44.0
413,1491,Large,6651,45.0
238,777,Large,6573,46.0
39,108,Large,6467,47.0
84,228,Large,6152,48.0
65,173,Large,5743,49.0
406,1434,Large,5666,50.0
390,1338,Large,5650,51.0
149,495,Large,5582,52.0
210,674,Large,5514,53.0
293,903,Large,5429,54.0
344,1168,Large,5285,55.0
400,1417,Large,5205,56.0
214,707,Large,5123,57.0
242,785,Large,5063,58.0
7,16,Large,5027,59.0
212,691,Large,5014,60.0
259,827,Large,4757,61.0
147,489,Large,4723,62.0
341,1130,Large,4581,63.0
25,62,Large,4499,64.0
267,845,Large,3990,65.0
20,46,Large,3952,66.0
235,767,Large,3828,67.0
32,90,Large,3786,68.0
18,40,Large,3603,69.0
192,625,Large,3590,70.0
279,874,Large,3587,71.0
358,1210,Large,3567,72.0
82,222,Large,3539,73.0
409,1484,Large,3534,74.0
357,1207,Large,3525,75.0
148,492,Large,3460,76.0
141,434,Large,3371,77.0
8,18,Large,3269,78.0
317,978,Large,3085,79.0
303,939,Large,3028,80.0
407,1478,Large,2983,81.0
423,1524,Large,2982,82.0
422,1522,Large,2904,83.0
199,643,Large,2469,84.0
278,870,Large,2407,85.0
269,852,Large,2375,86.0
360,1214,Large,2309,87.0
179,595,Large,2205,88.0
455,1609,Large,2152,89.0
139,430,Large,2031,90.0
3,7,Large,1972,91.0
246,795,Large,1972,91.0
45,122,Large,1965,92.0
217,715,Large,1942,93.0
13,28,Large,1904,94.0
288,893,Large,1855,95.0
237,775,Large,1843,96.0
98,264,Large,1669,97.0
197,637,Large,1536,98.0
338,1117,Large,1251,99.0
268,849,Large,1225,100.0
176,588,Large,1182,101.0
262,833,Large,1180,102.0
66,179,Large,1166,103.0
231,755,Large,988,104.0
63,171,Medium,40444,1.0
300,929,Medium,26737,2.0
437,1555,Medium,22509,3.0
428,1533,Medium,22275,4.0
419,1515,Medium,22148,5.0
30,85,Medium,21700,6.0
41,112,Medium,21548,7.0
294,905,Medium,20554,8.0
86,236,Medium,20549,9.0
89,242,Medium,20212,10.0
450,1594,Medium,19246,11.0
313,966,Medium,19184,12.0
368,1247,Medium,16453,13.0
168,571,Medium,15721,14.0
67,180,Medium,15667,15.0
387,1329,Medium,15357,16.0
190,620,Medium,15221,17.0
166,566,Medium,14938,18.0
152,533,Medium,13841,19.0
365,1235,Medium,13819,20.0
310,954,Medium,13762,21.0
447,1581,Medium,12918,22.0
96,260,Medium,12892,23.0
205,661,Medium,12589,24.0
200,650,Medium,12549,25.0
59,158,Medium,12305,26.0
64,172,Medium,12025,27.0
451,1599,Medium,11952,28.0
34,96,Medium,11837,29.0
209,671,Medium,11750,30.0
101,272,Medium,11631,31.0
14,30,Medium,11278,32.0
265,839,Medium,11082,33.0
224,738,Medium,10965,34.0
439,1561,Medium,10398,35.0
404,1424,Medium,10358,36.0
49,133,Medium,10016,37.0
350,1189,Medium,10008,38.0
116,367,Medium,9805,39.0
283,883,Medium,9238,40.0
333,1102,Medium,9170,41.0
258,824,Medium,9100,42.0
416,1504,Medium,9036,43.0
218,717,Medium,8881,44.0
328,1089,Medium,8845,45.0
219,720,Medium,8794,46.0
74,199,Medium,8524,47.0
381,1300,Medium,8466,48.0
228,748,Medium,8443,49.0
21,48,Medium,8404,50.0
425,1527,Medium,8177,51.0
170,576,Medium,7749,52.0
187,613,Medium,7743,53.0
85,234,Medium,7667,54.0
282,881,Medium,7541,55.0
393,1364,Medium,7389,56.0
124,387,Medium,7281,57.0
397,1383,Medium,7218,58.0
364,1233,Medium,7217,59.0
194,629,Medium,7198,60.0
50,136,Medium,7112,61.0
378,1291,Medium,6972,62.0
70,189,Medium,6950,63.0
6,14,Medium,6925,64.0
26,73,Medium,6896,65.0
223,733,Medium,6709,66.0
2,6,Medium,6465,67.0
78,209,Medium,6403,68.0
61,167,Medium,6329,69.0
181,600,Medium,6289,70.0
100,270,Medium,5986,71.0
389,1333,Medium,5935,72.0
227,746,Medium,5910,73.0
37,103,Medium,5758,74.0
180,597,Medium,5641,75.0
60,160,Medium,5601,76.0
421,1521,Medium,5594,77.0
57,154,Medium,5570,78.0
445,1576,Medium,5538,79.0
377,1288,Medium,5530,80.0
379,1294,Medium,5473,81.0
323,1005,Medium,5403,82.0
88,240,Medium,5313,83.0
