,customer_classification,date,api_calls
0,Large,1/1/21,29857
1,Large,1/10/21,38599
2,Large,1/11/21,76041
3,Large,1/12/21,70945
4,Large,1/13/21,21137
5,Large,1/14/21,35377
6,Large,1/15/21,41795
7,Large,1/16/21,14183
8,Large,1/17/21,14733
9,Large,1/18/21,24472
10,Large,1/19/21,10670
11,Large,1/2/21,40600
12,Large,1/20/21,26381
13,Large,1/21/21,25218
14,Large,1/22/21,14218
15,Large,1/23/21,26908
16,Large,1/24/21,11034
17,Large,1/25/21,44963
18,Large,1/27/21,13188
19,Large,1/28/21,26657
20,Large,1/29/21,23662
21,Large,1/3/21,25982
22,Large,1/30/21,13587
23,Large,1/4/21,69419
24,Large,1/5/21,54896
25,Large,1/6/21,47901
26,Large,1/7/21,35025
27,Large,1/8/21,58118
28,Large,1/9/21,19184
29,Medium,1/1/21,44538
30,Medium,1/10/21,44307
31,Medium,1/11/21,47866
32,Medium,1/12/21,105383
33,Medium,1/13/21,45123
34,Medium,1/14/21,22725
35,Medium,1/15/21,41055
36,Medium,1/16/21,19416
37,Medium,1/17/21,17578
38,Medium,1/18/21,24884
39,Medium,1/19/21,31421
40,Medium,1/2/21,42931
41,Medium,1/20/21,24642
42,Medium,1/21/21,39756
43,Medium,1/22/21,33820
44,Medium,1/23/21,13223
45,Medium,1/24/21,17822
46,Medium,1/25/21,39355
47,Medium,1/27/21,30011
48,Medium,1/28/21,67512
49,Medium,1/29/21,11524
50,Medium,1/3/21,35943
51,Medium,1/30/21,17266
52,Medium,1/4/21,54472
53,Medium,1/5/21,60267
54,Medium,1/6/21,28782
55,Medium,1/7/21,76484
56,Medium,1/8/21,54009
57,Medium,1/9/21,47531
58,Small,1/1/21,60411
59,Small,1/10/21,47747
60,Small,1/11/21,67202
61,Small,1/12/21,62334
62,Small,1/13/21,48010
63,Small,1/14/21,41181
64,Small,1/15/21,58472
65,Small,1/16/21,21912
66,Small,1/17/21,34129
67,Small,1/18/21,33531
68,Small,1/19/21,30646
69,Small,1/2/21,81657
70,Small,1/20/21,38520
71,Small,1/21/21,24882
72,Small,1/22/21,15498
73,Small,1/23/21,48225
74,Small,1/24/21,20614
75,Small,1/25/21,15562
76,Small,1/27/21,36180
77,Small,1/28/21,31001
78,Small,1/29/21,22430
79,Small,1/3/21,52432
80,Small,1/30/21,21370
81,Small,1/4/21,36434
82,Small,1/5/21,105657
83,Small,1/6/21,66024
84,Small,1/7/21,83290
85,Small,1/8/21,67132
86,Small,1/9/21,53579
